location,area,new/resale,furnished,price
Mohali Sec 125,550,1,1,1690000
Mohali Sec 125,910,1,1,1790000
Mohali Sector 127,910,1,1,1990000
Mohali Sec 125,915,1,0,1790000
Mohali Sec 125,910,1,1,3090000
Mohali Sec 125,610,1,1,1890000
Mohali Sector 127,599,1,0,1490000
Mohali Sector 127,550,1,1,1690000
Mohali Sec 125,588,1,1,1555000
Mohali Sector 127,915,1,1,1990000
Mohali Sector 127,951,1,1,1890000
Mohali Sector 127,915,1,1,1890000
Mohali Sector 127,980,1,1,1750000
Mohali Sector 127,915,1,1,1850000
Mohali Sector 127,510,1,0,1450000
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1,1,1490000
Mohali Sec 125,510,1,1,1690000
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1,1,1590000
Mohali Sector 127,555,1,1,1490000
Mohali Sector 127,510,1,1,1490000
Mohali Sector 127,900,1,1,1890000
Mohali Sector 127,910,1,1,1790000
Mohali Sector 127,1050,1,0,1970000
Mohali Sector 127,952,1,1,1790000
Mohali Sector 127,600,1,1,1880000
Mohali Sector 127,510,1,1,1480520
Mohali Sector 127,510,1,1,1480000
Mohali Sec 125,555,1,1,1690000
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1,1,1590000
Mohali Sector 127,1100,1,1,1980000
Mohali Sector 127,1050,1,0,1990000
Mohali Sector 127,910,1,1,1990000
Mohali Sector 127,915,1,1,1790000
Mohali Sector 127,550,1,0,1490000
Mohali Sector 127,600,1,1,1490000
SEC 115 MOHALI KHARAR LANDRAN ROAD,623,1,1,1490000
Mohali Sec 125,910,1,1,1990000
Mohali Sector 127,910,1,1,1990000
Mohali Sec 125,915,1,0,1790000
Mohali Sec 125,910,1,1,3090000
Mohali Sec 125,610,1,1,1890000
Mohali Sector 127,599,1,0,1490000
Mohali Sector 127,550,1,1,1690000
Mohali Sec 125,588,1,1,1555000
Mohali Sector 127,915,1,1,1990000
Mohali Sector 127,951,1,1,1890000
Mohali Sector 127,915,1,1,1890000
Mohali Sector 127,980,1,1,1750000
Mohali Sector 127,915,1,1,1850000
Mohali Sector 127,510,1,0,1450000
SEC 115 MOHALI KHARAR LANDRAN ROAD,510,1,1,1490000
